Spectrum title              ,             M 1-2
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
290           ,             6288
291           ,             6549
292           ,             6723
293           ,             6867
294           ,             7047
295           ,             7285
296           ,             7276
297           ,             7243
298           ,             7348
299           ,             7407
300           ,             7386
301           ,             7312
302           ,             7036
303           ,             7037
304           ,             7012
305           ,             6885
306           ,             6982
307           ,             7005
308           ,             7159
309           ,             6973
310           ,             7168
311           ,             7298
312           ,             7253
313           ,             7546
314           ,             7322
315           ,             7558
316           ,             7539
317           ,             7696
318           ,             7753
319           ,             7859
320           ,             7787
321           ,             7997
322           ,             8126
323           ,             8204
324           ,             8235
325           ,             8283
326           ,             8435
327           ,             8402
328           ,             8610
329           ,             8674
330           ,             8774
331           ,             8875
332           ,             8814
333           ,             8872
334           ,             9149
335           ,             9051
336           ,             9107
337           ,             9224
338           ,             9045
339           ,             9099
340           ,             9175
341           ,             9183
342           ,             9152
343           ,             9184
344           ,             9212
345           ,             9361
346           ,             9438
347           ,             9418
348           ,             9526
349           ,             9562
350           ,             9732
351           ,             9543
352           ,             9653
353           ,             9690
354           ,             9868
355           ,             9897
356           ,             10035
357           ,             10316
358           ,             10244
359           ,             10069
360           ,             10341
361           ,             10544
362           ,             10681
363           ,             10867
364           ,             10889
365           ,             11374
366           ,             11556
367           ,             11910
368           ,             12046
369           ,             11934
370           ,             12296
371           ,             11965
372           ,             12073
373           ,             11663
374           ,             11399
375           ,             11216
376           ,             11140
377           ,             10714
378           ,             10646
379           ,             10756
380           ,             10781
381           ,             10467
382           ,             10464
383           ,             10372
384           ,             10331
385           ,             10538
386           ,             10261
387           ,             10310
388           ,             10293
389           ,             10412
390           ,             10320
391           ,             10292
392           ,             10340
393           ,             10328
394           ,             10297
395           ,             10241
396           ,             10210
397           ,             10431
398           ,             10371
399           ,             10438
400           ,             10351
401           ,             10410
402           ,             10268
403           ,             10275
404           ,             10086
405           ,             10125
406           ,             10131
407           ,             10129
408           ,             10081
409           ,             10112
410           ,             9897
411           ,             9771
412           ,             9854
413           ,             9692
414           ,             9521
415           ,             9534
416           ,             9597
417           ,             9445
418           ,             9581
419           ,             9473
420           ,             9332
421           ,             9342
422           ,             9291
423           ,             9254
424           ,             9073
425           ,             9231
426           ,             9053
427           ,             8899
428           ,             8938
429           ,             9032
430           ,             8805
431           ,             8875
432           ,             8831
433           ,             8724
434           ,             8673
435           ,             8557
436           ,             8559
437           ,             8468
438           ,             8491
439           ,             8036
440           ,             8265
441           ,             8045
442           ,             8093
443           ,             8002
444           ,             7972
445           ,             7811
446           ,             7759
447           ,             7675
448           ,             7778
449           ,             7410
450           ,             7508
451           ,             7415
452           ,             7211
453           ,             7324
454           ,             7134
455           ,             7198
456           ,             7038
457           ,             6962
458           ,             6768
459           ,             6720
460           ,             6701
461           ,             6595
462           ,             6605
463           ,             6470
464           ,             6405
465           ,             6272
466           ,             6236
467           ,             5931
468           ,             5974
469           ,             5733
470           ,             5614
471           ,             5556
472           ,             5532
473           ,             5302
474           ,             5149
475           ,             5012
476           ,             4818
477           ,             4754
478           ,             4671
479           ,             4593
480           ,             4283
481           ,             4205
482           ,             3949
483           ,             3841
484           ,             3598
485           ,             3440
486           ,             3214
487           ,             2951
488           ,             2895
489           ,             2530
490           ,             2503
491           ,             2248
492           ,             1963
493           ,             1827
494           ,             1626
495           ,             1477
496           ,             1224
497           ,             1038
498           ,             924
499           ,             729
500           ,             582
501           ,             506
502           ,             368
503           ,             314
504           ,             235
505           ,             189
506           ,             147
507           ,             129
508           ,             86
509           ,             68
510           ,             84
511           ,             68
512           ,             62
513           ,             51
514           ,             59
515           ,             53
516           ,             54
517           ,             69
518           ,             77
519           ,             65
520           ,             48
521           ,             57
522           ,             66
523           ,             42
524           ,             51
525           ,             69
526           ,             84
527           ,             67
528           ,             64
529           ,             65
530           ,             63
531           ,             71
532           ,             70
533           ,             62
534           ,             70
535           ,             58
536           ,             63
537           ,             66
538           ,             64
539           ,             61
540           ,             70
541           ,             70
542           ,             66
543           ,             67
544           ,             74
545           ,             85
546           ,             75
547           ,             88
548           ,             70
549           ,             82
550           ,             87
551           ,             75
552           ,             74
553           ,             74
554           ,             77
555           ,             70
556           ,             106
557           ,             83
558           ,             69
559           ,             82
560           ,             77
561           ,             96
562           ,             56
563           ,             80
564           ,             75
565           ,             69
566           ,             95
567           ,             102
568           ,             80
569           ,             75
570           ,             80
571           ,             91
572           ,             87
573           ,             82
574           ,             78
575           ,             90
576           ,             95
577           ,             99
578           ,             71
579           ,             94
580           ,             94
581           ,             74
582           ,             89
583           ,             90
584           ,             106
585           ,             104
586           ,             83
587           ,             101
588           ,             92
589           ,             76
590           ,             99
591           ,             96
592           ,             82
593           ,             91
594           ,             112
595           ,             91
596           ,             85
597           ,             111
598           ,             115
599           ,             92
600           ,             104
601           ,             111
602           ,             97
603           ,             103
604           ,             99
605           ,             83
606           ,             101
607           ,             103
608           ,             95
609           ,             106
610           ,             89
611           ,             86
612           ,             85
613           ,             95
614           ,             79
615           ,             96
616           ,             88
617           ,             79
618           ,             81
619           ,             96
620           ,             109
621           ,             85
622           ,             97
623           ,             69
624           ,             93
625           ,             80
626           ,             89
627           ,             104
628           ,             109
629           ,             98
630           ,             77
631           ,             82
632           ,             104
633           ,             92
634           ,             104
635           ,             77
636           ,             81
637           ,             90
638           ,             72
639           ,             87
640           ,             99
641           ,             99
642           ,             77
643           ,             87
644           ,             95
645           ,             76
646           ,             96
647           ,             87
648           ,             74
649           ,             91
650           ,             87
651           ,             68
652           ,             75
653           ,             84
654           ,             71
655           ,             77
656           ,             82
657           ,             85
658           ,             90
659           ,             89
660           ,             85
661           ,             98
662           ,             75
663           ,             68
664           ,             70
665           ,             72
666           ,             79
667           ,             69
668           ,             70
669           ,             78
670           ,             75
671           ,             84
672           ,             79
673           ,             65
674           ,             70
675           ,             72
676           ,             82
677           ,             73
678           ,             67
679           ,             64
680           ,             75
681           ,             77
682           ,             52
683           ,             59
684           ,             67
685           ,             68
686           ,             60
687           ,             71
688           ,             51
689           ,             66
690           ,             55
691           ,             66
692           ,             67
693           ,             68
694           ,             65
695           ,             67
696           ,             59
697           ,             75
698           ,             50
699           ,             54
700           ,             53
701           ,             57
702           ,             57
703           ,             52
704           ,             56
705           ,             61
706           ,             49
707           ,             59
708           ,             58
709           ,             56
710           ,             55
711           ,             74
712           ,             43
713           ,             55
714           ,             60
715           ,             46
716           ,             43
717           ,             37
718           ,             36
719           ,             44
720           ,             39
721           ,             39
722           ,             46
723           ,             36
724           ,             34
725           ,             56
726           ,             36
727           ,             43
728           ,             39
729           ,             43
730           ,             33
731           ,             39
732           ,             41
733           ,             28
734           ,             37
735           ,             35
736           ,             36
737           ,             36
738           ,             42
739           ,             35
740           ,             41
741           ,             42
742           ,             33
743           ,             30
744           ,             25
745           ,             18
746           ,             26
747           ,             26
748           ,             29
749           ,             37
750           ,             39
751           ,             41
752           ,             29
753           ,             41
754           ,             47
755           ,             24
756           ,             31
757           ,             28
758           ,             27
759           ,             21
760           ,             25
761           ,             26
762           ,             24
763           ,             24
764           ,             23
765           ,             24
766           ,             29
767           ,             30
768           ,             44
769           ,             33
770           ,             21
771           ,             26
772           ,             16
773           ,             21
774           ,             27
775           ,             24
776           ,             30
777           ,             37
778           ,             33
779           ,             31
780           ,             36
781           ,             33
782           ,             28
783           ,             30
784           ,             19
785           ,             26
786           ,             29
787           ,             24
788           ,             34
789           ,             22
790           ,             24
791           ,             28
792           ,             24
793           ,             30
794           ,             25
795           ,             30
796           ,             26
797           ,             29
798           ,             32
799           ,             31
800           ,             18
801           ,             25
802           ,             28
803           ,             24
804           ,             41
805           ,             24
806           ,             20
807           ,             18
808           ,             23
809           ,             30
810           ,             22
811           ,             21
812           ,             17
813           ,             27
814           ,             12
815           ,             21
816           ,             26
817           ,             18
818           ,             17
819           ,             26
820           ,             26
821           ,             23
822           ,             19
823           ,             17
824           ,             24
825           ,             15
826           ,             15
827           ,             13
828           ,             20
829           ,             24
830           ,             19
831           ,             19
832           ,             24
833           ,             17
834           ,             20
835           ,             25
836           ,             22
837           ,             26
838           ,             12
839           ,             21
840           ,             18
841           ,             21
842           ,             20
843           ,             21
844           ,             18
845           ,             22
846           ,             15
847           ,             15
848           ,             20
849           ,             18
850           ,             26
851           ,             12
852           ,             17
853           ,             15
854           ,             14
855           ,             16
856           ,             19
857           ,             15
858           ,             17
859           ,             16
860           ,             5
861           ,             10
862           ,             15
863           ,             9
864           ,             9
865           ,             10
866           ,             12
867           ,             8
868           ,             12
869           ,             17
870           ,             17
871           ,             17
872           ,             18
873           ,             11
874           ,             16
875           ,             17
876           ,             12
877           ,             12
878           ,             9
879           ,             12
880           ,             10
881           ,             10
882           ,             6
883           ,             10
884           ,             14
885           ,             9
886           ,             16
887           ,             5
888           ,             2
889           ,             10
890           ,             9
891           ,             8
892           ,             12
893           ,             7
894           ,             8
895           ,             17
896           ,             12
897           ,             7
898           ,             9
899           ,             6
900           ,             5
901           ,             6
902           ,             11
903           ,             5
904           ,             6
905           ,             4
906           ,             6
907           ,             7
908           ,             4
909           ,             6
910           ,             8
911           ,             7
912           ,             6
913           ,             3
914           ,             12
915           ,             6
916           ,             3
917           ,             7
918           ,             2
919           ,             9
920           ,             3
921           ,             7
922           ,             4
923           ,             6
924           ,             7
925           ,             3
926           ,             6
