Spectrum title              ,             M-5-3
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
403           ,             10325
404           ,             10256
405           ,             10342
406           ,             10307
407           ,             10200
408           ,             9956
409           ,             9824
410           ,             9876
411           ,             9731
412           ,             10182
413           ,             10010
414           ,             9816
415           ,             9503
416           ,             9682
417           ,             9492
418           ,             9387
419           ,             9512
420           ,             9286
421           ,             9352
422           ,             9279
423           ,             9281
424           ,             9172
425           ,             9100
426           ,             8863
427           ,             9077
428           ,             8933
429           ,             8846
430           ,             9014
431           ,             8824
432           ,             8710
433           ,             8641
434           ,             8738
435           ,             8445
436           ,             8276
437           ,             8610
438           ,             8246
439           ,             8215
440           ,             8329
441           ,             8358
442           ,             8139
443           ,             8181
444           ,             7937
445           ,             7800
446           ,             7823
447           ,             7690
448           ,             7668
449           ,             7588
450           ,             7550
451           ,             7354
452           ,             7359
453           ,             7218
454           ,             7165
455           ,             7082
456           ,             7168
457           ,             7116
458           ,             6777
459           ,             6788
460           ,             6749
461           ,             6612
462           ,             6522
463           ,             6441
464           ,             6259
465           ,             6155
466           ,             6215
467           ,             5977
468           ,             5894
469           ,             5838
470           ,             5694
471           ,             5567
472           ,             5516
473           ,             5178
474           ,             5079
475           ,             5071
476           ,             4918
477           ,             4848
478           ,             4621
479           ,             4445
480           ,             4438
481           ,             4156
482           ,             3943
483           ,             3726
484           ,             3654
485           ,             3425
486           ,             3271
487           ,             3074
488           ,             2903
489           ,             2639
490           ,             2472
491           ,             2185
492           ,             2016
493           ,             1765
494           ,             1590
495           ,             1389
496           ,             1244
497           ,             1071
498           ,             948
499           ,             716
500           ,             603
501           ,             466
502           ,             406
503           ,             307
504           ,             254
505           ,             192
506           ,             131
507           ,             109
508           ,             99
509           ,             72
510           ,             73
511           ,             71
512           ,             71
513           ,             64
514           ,             55
515           ,             60
516           ,             88
517           ,             58
518           ,             52
519           ,             54
520           ,             72
521           ,             58
522           ,             84
523           ,             67
524           ,             50
525           ,             63
526           ,             74
527           ,             65
528           ,             64
529           ,             56
530           ,             66
531           ,             86
532           ,             67
533           ,             64
534           ,             61
535           ,             70
536           ,             76
537           ,             74
538           ,             81
539           ,             84
540           ,             63
541           ,             68
542           ,             76
543           ,             74
544           ,             74
545           ,             80
546           ,             80
547           ,             62
548           ,             79
549           ,             94
550           ,             89
551           ,             74
552           ,             78
553           ,             78
554           ,             73
555           ,             90
556           ,             57
557           ,             66
558           ,             84
559           ,             98
560           ,             84
561           ,             92
562           ,             72
563           ,             79
564           ,             87
565           ,             73
566           ,             86
567           ,             93
568           ,             80
569           ,             88
570           ,             91
571           ,             72
572           ,             101
573           ,             68
574           ,             85
575           ,             72
576           ,             81
577           ,             93
578           ,             92
579           ,             90
580           ,             89
581           ,             79
582           ,             90
583           ,             87
584           ,             89
585           ,             89
586           ,             87
587           ,             109
588           ,             92
589           ,             107
590           ,             66
591           ,             89
592           ,             94
593           ,             97
594           ,             91
595           ,             86
596           ,             99
597           ,             109
598           ,             91
599           ,             96
600           ,             88
601           ,             99
602           ,             96
603           ,             98
604           ,             125
