Spectrum title              ,             2.5-1-7-5
Detector type ,             SDD (2016)
Voltage (kV)  ,              5 
Current (uA)  ,              600 
Primary filter              ,             Open
Helium used   ,             Yes
Live acquisition time (s)   ,              90 
Dead time (%) ,              10 
Channel       ,             counts
402           ,             10150
403           ,             10065
404           ,             10264
405           ,             9976
406           ,             10097
407           ,             9798
408           ,             9940
409           ,             9951
410           ,             9951
411           ,             9829
412           ,             9781
413           ,             9924
414           ,             9769
415           ,             9667
416           ,             9594
417           ,             9723
418           ,             9507
419           ,             9495
420           ,             9453
421           ,             9231
422           ,             9528
423           ,             9112
424           ,             9344
425           ,             9043
426           ,             9066
427           ,             9008
428           ,             9138
429           ,             8986
430           ,             8823
431           ,             8706
432           ,             8637
433           ,             8675
434           ,             8629
435           ,             8723
436           ,             8538
437           ,             8424
438           ,             8453
439           ,             8346
440           ,             8120
441           ,             8078
442           ,             8211
443           ,             8187
444           ,             7950
445           ,             8043
446           ,             7912
447           ,             7881
448           ,             7665
449           ,             7650
450           ,             7467
451           ,             7611
452           ,             7320
453           ,             7392
454           ,             7303
455           ,             7200
456           ,             7029
457           ,             7090
458           ,             6922
459           ,             6743
460           ,             6688
461           ,             6800
462           ,             6588
463           ,             6362
464           ,             6376
465           ,             6316
466           ,             6214
467           ,             6102
468           ,             5995
469           ,             5664
470           ,             5586
471           ,             5738
472           ,             5401
473           ,             5328
474           ,             5121
475           ,             5041
476           ,             5027
477           ,             4794
478           ,             4695
479           ,             4615
480           ,             4302
481           ,             4157
482           ,             4094
483           ,             3893
484           ,             3711
485           ,             3556
486           ,             3256
487           ,             3122
488           ,             2828
489           ,             2625
490           ,             2443
491           ,             2305
492           ,             1996
493           ,             1805
494           ,             1647
495           ,             1432
496           ,             1227
497           ,             1128
498           ,             859
499           ,             757
500           ,             605
501           ,             501
502           ,             409
503           ,             322
504           ,             223
505           ,             192
506           ,             143
507           ,             106
508           ,             105
509           ,             84
510           ,             76
511           ,             67
512           ,             53
513           ,             61
514           ,             60
515           ,             63
516           ,             67
517           ,             73
518           ,             68
519           ,             57
520           ,             51
521           ,             69
522           ,             61
523           ,             64
524           ,             69
525           ,             80
526           ,             58
527           ,             69
528           ,             67
529           ,             68
530           ,             59
531           ,             79
532           ,             59
533           ,             72
534           ,             68
535           ,             60
536           ,             66
537           ,             78
538           ,             78
539           ,             85
540           ,             71
541           ,             81
542           ,             95
543           ,             71
544           ,             65
545           ,             96
546           ,             81
547           ,             64
548           ,             93
549           ,             87
550           ,             95
551           ,             81
552           ,             84
553           ,             73
554           ,             80
555           ,             79
556           ,             63
557           ,             82
558           ,             81
559           ,             82
560           ,             92
561           ,             102
562           ,             60
563           ,             87
564           ,             89
565           ,             93
566           ,             84
567           ,             82
568           ,             85
569           ,             79
570           ,             97
571           ,             82
572           ,             99
573           ,             74
574           ,             92
575           ,             85
576           ,             83
577           ,             87
578           ,             105
579           ,             81
580           ,             70
581           ,             90
582           ,             97
583           ,             84
584           ,             97
585           ,             91
586           ,             92
587           ,             94
588           ,             90
589           ,             78
590           ,             91
591           ,             100
592           ,             90
593           ,             95
594           ,             90
595           ,             96
596           ,             106
597           ,             80
598           ,             92
599           ,             83
600           ,             80
601           ,             111
602           ,             74
603           ,             88
604           ,             79
605           ,             89
606           ,             88
607           ,             88
608           ,             86
609           ,             86
610           ,             92
611           ,             111
612           ,             100
613           ,             96
614           ,             90
615           ,             88
616           ,             102
617           ,             78
618           ,             96
619           ,             76
620           ,             86
621           ,             83
622           ,             82
623           ,             94
624           ,             102
625           ,             107
626           ,             75
627           ,             99
628           ,             90
629           ,             97
630           ,             87
631           ,             76
632           ,             86
633           ,             91
634           ,             90
635           ,             79
636           ,             93
637           ,             93
638           ,             84
639           ,             90
640           ,             75
641           ,             89
642           ,             88
643           ,             84
644           ,             81
645           ,             107
646           ,             73
647           ,             73
648           ,             95
649           ,             83
650           ,             89
651           ,             80
652           ,             88
653           ,             88
654           ,             70
655           ,             82
656           ,             84
657           ,             75
658           ,             79
659           ,             84
660           ,             75
661           ,             70
662           ,             80
663           ,             80
664           ,             75
665           ,             77
666           ,             66
667           ,             86
668           ,             90
669           ,             67
670           ,             82
671           ,             72
672           ,             63
673           ,             71
674           ,             62
675           ,             69
676           ,             68
677           ,             71
678           ,             69
679           ,             83
680           ,             66
681           ,             61
682           ,             71
683           ,             62
684           ,             53
685           ,             61
686           ,             67
687           ,             58
688           ,             61
689           ,             67
690           ,             61
691           ,             76
692           ,             60
693           ,             57
694           ,             71
695           ,             57
696           ,             46
697           ,             51
698           ,             53
699           ,             62
700           ,             70
701           ,             59
702           ,             56
703           ,             59
704           ,             69
705           ,             59
706           ,             56
707           ,             57
708           ,             46
709           ,             60
710           ,             65
711           ,             52
712           ,             50
713           ,             52
714           ,             56
715           ,             52
716           ,             53
717           ,             58
718           ,             49
719           ,             37
720           ,             34
721           ,             44
722           ,             41
723           ,             35
724           ,             51
725           ,             39
726           ,             40
727           ,             42
728           ,             42
729           ,             45
730           ,             30
731           ,             42
732           ,             41
733           ,             33
734           ,             47
735           ,             36
736           ,             39
737           ,             40
738           ,             42
739           ,             29
740           ,             30
741           ,             31
742           ,             26
743           ,             32
744           ,             29
745           ,             29
746           ,             30
747           ,             30
748           ,             35
749           ,             26
750           ,             47
751           ,             31
752           ,             48
753           ,             35
754           ,             33
755           ,             18
756           ,             31
757           ,             31
758           ,             28
759           ,             29
760           ,             30
761           ,             32
762           ,             34
763           ,             27
764           ,             35
765           ,             27
766           ,             18
767           ,             23
768           ,             36
769           ,             23
770           ,             32
771           ,             29
772           ,             25
773           ,             35
774           ,             28
775           ,             27
776           ,             25
777           ,             33
778           ,             24
779           ,             33
780           ,             27
781           ,             26
782           ,             27
783           ,             29
784           ,             29
785           ,             20
786           ,             27
787           ,             23
788           ,             27
789           ,             27
790           ,             26
791           ,             26
792           ,             37
793           ,             32
794           ,             23
795           ,             19
796           ,             24
797           ,             15
798           ,             19
799           ,             20
800           ,             21
801           ,             15
802           ,             31
803           ,             28
804           ,             29
805           ,             21
806           ,             16
807           ,             24
808           ,             22
809           ,             28
810           ,             24
811           ,             24
812           ,             31
813           ,             24
814           ,             29
815           ,             24
816           ,             24
817           ,             20
818           ,             31
819           ,             31
820           ,             16
821           ,             17
822           ,             18
823           ,             19
824           ,             22
825           ,             21
826           ,             22
827           ,             18
828           ,             19
829           ,             15
830           ,             21
831           ,             20
832           ,             19
833           ,             29
834           ,             11
835           ,             26
836           ,             18
837           ,             22
838           ,             17
839           ,             19
840           ,             13
841           ,             17
842           ,             21
843           ,             18
844           ,             19
845           ,             17
846           ,             23
847           ,             16
848           ,             18
849           ,             17
850           ,             19
851           ,             13
852           ,             15
853           ,             14
854           ,             17
855           ,             14
856           ,             12
857           ,             11
858           ,             11
859           ,             16
860           ,             12
861           ,             14
862           ,             13
863           ,             15
864           ,             13
865           ,             11
866           ,             9
867           ,             16
868           ,             14
869           ,             18
870           ,             11
871           ,             7
872           ,             13
873           ,             12
874           ,             10
875           ,             17
876           ,             13
877           ,             8
878           ,             11
879           ,             10
880           ,             11
881           ,             7
882           ,             16
883           ,             17
884           ,             13
885           ,             12
886           ,             7
887           ,             9
888           ,             7
889           ,             9
890           ,             9
891           ,             9
892           ,             12
893           ,             5
894           ,             8
895           ,             6
896           ,             11
897           ,             7
898           ,             4
899           ,             4
900           ,             8
901           ,             13
902           ,             8
903           ,             4
904           ,             6
905           ,             4
906           ,             11
907           ,             7
908           ,             6
909           ,             5
910           ,             6
911           ,             7
912           ,             13
913           ,             6
914           ,             5
915           ,             7
916           ,             7
917           ,             4
918           ,             3
919           ,             6
920           ,             2
921           ,             5
922           ,             3
923           ,             2
924           ,             7
925           ,             6
926           ,             0
927           ,             4
928           ,             6
929           ,             2
930           ,             4
931           ,             3
932           ,             2
933           ,             2
934           ,             0
935           ,             6
936           ,             1
937           ,             5
938           ,             4
939           ,             2
940           ,             3
941           ,             3
942           ,             0
943           ,             2
944           ,             2
945           ,             1
946           ,             3
947           ,             4
948           ,             0
949           ,             1
950           ,             0
951           ,             2
952           ,             3
953           ,             1
954           ,             0
955           ,             1
956           ,             0
957           ,             0
958           ,             3
959           ,             0
960           ,             0
961           ,             1
962           ,             0
963           ,             1
964           ,             2
965           ,             1
966           ,             0
967           ,             1
968           ,             0
969           ,             1
970           ,             2
971           ,             1
972           ,             0
973           ,             1
974           ,             1
975           ,             2
976           ,             0
977           ,             0
978           ,             1
979           ,             0
980           ,             1
981           ,             0
982           ,             0
983           ,             1
984           ,             1
985           ,             1
986           ,             0
987           ,             0
988           ,             0
989           ,             0
990           ,             0
991           ,             0
992           ,             1
993           ,             0
994           ,             0
995           ,             1
996           ,             0
997           ,             0
998           ,             1
999           ,             0
1000          ,             0
1001          ,             0
1002          ,             0
1003          ,             0
1004          ,             0
1005          ,             0
1006          ,             0
1007          ,             0
1008          ,             0
1009          ,             0
1010          ,             0
1011          ,             0
1012          ,             0
1013          ,             0
1014          ,             0
1015          ,             0
1016          ,             0
